arquivo,arquivo_completo,aba,valor_ultimo_na_linha,status
C0174862.xlsx,data/output/C0174862.xlsx,IR_CS_ANUAL,27837.24,ok
C0188520.xlsx,data/output/C0188520.xlsx,IR_CS_ANUAL,17578.560000000005,ok
C0568044.xlsx,data/output/C0568044.xlsx,IR_CS_ANUAL,0,ok
C0568045.xlsx,data/output/C0568045.xlsx,IR_CS_ANUAL,0,ok
C0568397.xlsx,data/output/C0568397.xlsx,IR_CS_ANUAL,0,ok
C0568620.xlsx,data/output/C0568620.xlsx,IR_CS_ANUAL,0,ok
C0569838.xlsx,data/output/C0569838.xlsx,IR_CS_ANUAL,0,ok
C0569381.xlsx,data/output/C0569381.xlsx,IR_CS_ANUAL,-770011.6400000006,ok
C0900941.xlsx,data/output/C0900941.xlsx,IR_CS_ANUAL,25423.72,ok
C2098760.xlsx,data/output/C2098760.xlsx,IR_CS_ANUAL,21890.26,ok
C2136280.xlsx,data/output/C2136280.xlsx,IR_CS_ANUAL,47080.490000000005,ok
C2177403.xlsx,data/output/C2177403.xlsx,IR_CS_ANUAL,24204.34,ok
C2181060.xlsx,data/output/C2181060.xlsx,IR_CS_ANUAL,20675.980000000003,ok
C2395215.xlsx,data/output/C2395215.xlsx,IR_CS_ANUAL,27236.28,ok
C2390546.xlsx,data/output/C2390546.xlsx,IR_CS_ANUAL,19320.68,ok
C2443573.xlsx,data/output/C2443573.xlsx,IR_CS_ANUAL,17713.79,ok
C2445417.xlsx,data/output/C2445417.xlsx,IR_CS_ANUAL,15359.250000000002,ok
C2465402.xlsx,data/output/C2465402.xlsx,IR_CS_ANUAL,18069.6,ok
C2486805.xlsx,data/output/C2486805.xlsx,IR_CS_ANUAL,25429.370000000003,ok
C2547691.xlsx,data/output/C2547691.xlsx,IR_CS_ANUAL,26867.49,ok
C2525293.xlsx,data/output/C2525293.xlsx,IR_CS_ANUAL,35862.619999999995,ok
C2661650.xlsx,data/output/C2661650.xlsx,IR_CS_ANUAL,27357.17,ok
C2663749.xlsx,data/output/C2663749.xlsx,IR_CS_ANUAL,14166.889999999996,ok
C2721625.xlsx,data/output/C2721625.xlsx,IR_CS_ANUAL,27060.42000000001,ok
C2745851.xlsx,data/output/C2745851.xlsx,IR_CS_ANUAL,22511.14,ok
C2672948.xlsx,data/output/C2672948.xlsx,IR_CS_ANUAL,23159.97,ok
C2779088.xlsx,data/output/C2779088.xlsx,IR_CS_ANUAL,33241.36,ok
C2747656.xlsx,data/output/C2747656.xlsx,IR_CS_ANUAL,15125.319999999998,ok
C2762140.xlsx,data/output/C2762140.xlsx,IR_CS_ANUAL,26651.69000000001,ok
C2800665.xlsx,data/output/C2800665.xlsx,IR_CS_ANUAL,-5.820766091346741e-11,ok
C2802598.xlsx,data/output/C2802598.xlsx,IR_CS_ANUAL,0,ok
C2802166.xlsx,data/output/C2802166.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C2868399.xlsx,data/output/C2868399.xlsx,IR_CS_ANUAL,0,ok
C2877781.xlsx,data/output/C2877781.xlsx,IR_CS_ANUAL,22137.17000000001,ok
C2800798.xlsx,data/output/C2800798.xlsx,IR_CS_ANUAL,12738671.22,ok
C2924151.xlsx,data/output/C2924151.xlsx,IR_CS_ANUAL,17386.37,ok
C2813264.xlsx,data/output/C2813264.xlsx,IR_CS_ANUAL,19099.06,ok
C2937451.xlsx,data/output/C2937451.xlsx,IR_CS_ANUAL,22364.11,ok
C2935365.xlsx,data/output/C2935365.xlsx,IR_CS_ANUAL,24994.52,ok
C2976938.xlsx,data/output/C2976938.xlsx,IR_CS_ANUAL,29804.25,ok
C2957221.xlsx,data/output/C2957221.xlsx,IR_CS_ANUAL,20771.56,ok
C3000567.xlsx,data/output/C3000567.xlsx,IR_CS_ANUAL,0,ok
C3002794.xlsx,data/output/C3002794.xlsx,IR_CS_ANUAL,9.094947017729282e-13,ok
C3002769.xlsx,data/output/C3002769.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3003467.xlsx,data/output/C3003467.xlsx,IR_CS_ANUAL,0,ok
C3003188.xlsx,data/output/C3003188.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3003112.xlsx,data/output/C3003112.xlsx,IR_CS_ANUAL,0,ok
C3003470.xlsx,data/output/C3003470.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3002803.xlsx,data/output/C3002803.xlsx,IR_CS_ANUAL,-1.8189894035458565e-12,ok
C3003545.xlsx,data/output/C3003545.xlsx,IR_CS_ANUAL,0,ok
C3003939.xlsx,data/output/C3003939.xlsx,IR_CS_ANUAL,0,ok
C3003607.xlsx,data/output/C3003607.xlsx,IR_CS_ANUAL,0,ok
C3003691.xlsx,data/output/C3003691.xlsx,IR_CS_ANUAL,0,ok
C3003555.xlsx,data/output/C3003555.xlsx,IR_CS_ANUAL,0,ok
C3004036.xlsx,data/output/C3004036.xlsx,IR_CS_ANUAL,-1.8189894035458565e-12,ok
C3004022.xlsx,data/output/C3004022.xlsx,IR_CS_ANUAL,-1.8189894035458565e-12,ok
C3004045.xlsx,data/output/C3004045.xlsx,IR_CS_ANUAL,0,ok
C3004483.xlsx,data/output/C3004483.xlsx,IR_CS_ANUAL,0,ok
C3004675.xlsx,data/output/C3004675.xlsx,IR_CS_ANUAL,0,ok
