arquivo,aba,valor_ultimo_na_linha,status
C3893578.xlsx,IR_CS_ANUAL,13804.23,ok
C4121876.xlsx,IR_CS_ANUAL,25380.66,ok
C4685160.xlsx,IR_CS_ANUAL,27613.56,ok
C4408473.xlsx,IR_CS_ANUAL,27981.42,ok
C3705835.xlsx,IR_CS_ANUAL,10244.98,ok
C4187825.xlsx,IR_CS_ANUAL,11408.61,ok
C4184609.xlsx,IR_CS_ANUAL,7845.59,ok
C4198085.xlsx,IR_CS_ANUAL,11215.57,ok
C4728159.xlsx,IR_CS_ANUAL,8.112.299.999.999.990,ok
C4561819.xlsx,IR_CS_ANUAL,23281.57,ok
C4842323.xlsx,IR_CS_ANUAL,6494.6,ok
C3798864.xlsx,IR_CS_ANUAL,8596.17,ok
C4406454.xlsx,IR_CS_ANUAL,17452.58,ok
C4860910.xlsx,IR_CS_ANUAL,1262.32,ok
C4450809.xlsx,IR_CS_ANUAL,6225.83,ok
C5064254.xlsx,IR_CS_ANUAL,36059.34,ok
C4356822.xlsx,IR_CS_ANUAL,14217.3,ok
C4693539.xlsx,IR_CS_ANUAL,19596.9,ok
C4527237.xlsx,IR_CS_ANUAL,32719.03,ok
C4288217.xlsx,IR_CS_ANUAL,24952.33,ok
C4917852.xlsx,IR_CS_ANUAL,28641.69,ok
C4855227.xlsx,IR_CS_ANUAL,11324.08,ok
C3869870.xlsx,IR_CS_ANUAL,27693.78,ok
C4211127.xlsx,IR_CS_ANUAL,26798,ok
C4224005.xlsx,IR_CS_ANUAL,22237.59,ok
C4076779.xlsx,IR_CS_ANUAL,11839.62,ok
C4442029.xlsx,IR_CS_ANUAL,31188.32,ok
C4614657.xlsx,IR_CS_ANUAL,33905.81,ok
C3578593.xlsx,IR_CS_ANUAL,24212.41,ok
C4248510.xlsx,IR_CS_ANUAL,12358.28,ok
C4419107.xlsx,IR_CS_ANUAL,2.516.432.000.000.000,ok
C4175034.xlsx,IR_CS_ANUAL,8080.09,ok
C3575057.xlsx,IR_CS_ANUAL,33081.29,ok
C4449146.xlsx,IR_CS_ANUAL,13671.69,ok
C4601723.xlsx,IR_CS_ANUAL,17757.33,ok
C4776525.xlsx,IR_CS_ANUAL,10508,ok
C4685737.xlsx,IR_CS_ANUAL,11893.95,ok
C4542842.xlsx,IR_CS_ANUAL,23434.74,ok
C4587380.xlsx,IR_CS_ANUAL,8507.25,ok
C3897254.xlsx,IR_CS_ANUAL,15184.84,ok
