Conta;Descrição
71300010010036;RENDAS APROPRIADAS-CL2  
71300010010046;RDAS APRPR.-RI-PORT.140 
71300010010096;RDAS APR-RI-P140-L.9430/96-CL1  
71300010020046;OUTRAS RDAS DE ARREND MERC-RI   
71300010030016;SUPERVENIENCIA DE DEPRECIACAO   
71300010050016;COM.PERMANENCIA-CN-R.INT.       
71300010050026;COM.PERMANENCIA-CL2/CL3-RI      
71300010050036;CP-CN-MULTA IGPM + 1 X CA-6     
71300010050046;CP-CL2/CL3-MULTA IGPM + 1XCA6   
71300010050056;CP-CN-DELTA IGPM + 1 X CA-6     
71300010050066;CP-CL2/CL3-DELTA IGPM + 1XCA6   
71300010050086;COM.PERMANENCIA-CL1-R.INT.      
71300010050096;CP-CL1-MULTA IGPM + C CA6       
71300010050106;CP-CL1-DELTA IGPM + 1 X CA6     
71300010060016;COMISSAO PERMANENCIA-CL2/CL3    
71300010060026;COMISSAO PERMANENCIA-CN 
71300010060036;COM.PERM.(-)CP.RES.RI/RE-LIM    
71300010060046;CP-CN-MULTA IGPM + 1 X CA-6     
71300010060056;CP-CL2/CL3 MULTA IGPM +1 XCA6   
71300010060086;CP-CN-DELTA IGPM +1 X CA-6      
71300010060096;CP-CL2/CL3 DELTA IGPM + 1 XCA6  
71300010060126;COMISSAO DE PERMANENCIA-CL1     
71300010060136;CP-CL1-MULTA IGPM + 1 X CA6-CX  
71300010060156;CP-CL1-DELTA IGPM + 1 X CA6-CX  
71300010070016;PAGTO LIM.2 UFIR-PARC.COBRANCA  
71300070010013;RDAS APROPRIADAS CL2    
71300070010023;RDAS APROPR.-RI-PORT.140        
71300070010033;RDAS.APR-RI-P140-L.9430/96-CL1  
71300020020014;COMISSAO PERMANENCIA-CL2/CL3    
71300020020024;COMISSAO PERMANENCIA-CN 
71300020030024;COM.PERMANENCIA-CL2/CL3-R.E.    
71300020040014;CP-CN-MULTA IGPM + 1 X CA-6     
71300020040024;CP-CL2/CL3-MULT.IGPM+1XCA6-CX   
71300020040034;CP-CN-DELTA IGPM + 1 X CA-6     
71300020040044;CP-CL2/CL3-DT.IGPM+1XCA6-CX     
71300080010021;RDAS APROPR.-RE-PORT.140        
71300080010031;RDAS.APR-RE-P140-L.9430/96-CL1  
71300060010015;LUCROS-ALIEN.BENS ARRENDS-VRG   
73761030000003;L7/PF/CADASTRO-CARLEASING       
73761030000004;L7/PF/CADASTRO-CARLEASING       
73761040000001;L7/PF/CADASTRO-LEASING OUTROS   
73761070000004;L7/PJ/CADASTRO-CARLEASING       
73761080000002;L7/PJ/CADASTRO-LEASING OUTROS   
73070610000007;TARIFA-CONTRAT.OPER.DE ARREND.  
73070620000005;TARIFA-CARLEASING PF    
73070630000003;TARIFA-CARLEASING PJ    
73070650000008;TARIFA-LEASING OUTROS PJ        
73071620000003;T.C.B.-CARLEADING PF    
73071630000001;T.C.B.-CARLEADING PJ    
73760400000007;L7/PF/ADIT.CONTRATO-CARLEASING  
73760410000005;L7/PF/ADIT.CONTR.-LEASING OUTR  
73760420000003;L7/PJ/ADIT.CONTRATO-CARLEASING  
73760430000001;L7/PJ/ADIT.CONTR.LEASING-OUTRO  
73761010000007;L7/PJ/AVAL.BENS-CARLEASING      
73761110000006;L7/PF/ADIT.CONTR RESCISAO LSG   
73490080000008;REC.P/RECEBIMENTO-CL3   
73490090000006;REC.P/RECEBIMENTO-CL4   
73490100000004;RECLASSIF.RECUPERACAO WO        
73490300000000;REC. CONTR. WO - COMP   
73490300000006;REC. CONTR. WO - COMP   
73490310000000;DESC. CONTR. WO - COMP  
73490310000006;DESC. CONTR. WO - COMP  
73532930000009;RECUP.DESP/EMISSAO BOLETO       
73810020000000;VER.DESC.A COM.S/VRG MAN.-CN    
73761140000000;L7/PJ/MULTA RESCISAO CONTR LSG  
75810140000003;CESSAO DE CREDITO       
75810200000000;BENS NAO DESTINADOS A USO       
75810210000008;L7/RESCISOES,SINISTROS,ETC.     
81390010010015;DEPRECIACAO DE BENS ARRENDADOS  
81390020010013;AMORTIZACAO-DIFERIDO    
81390020010023;AMORTIZACAO-D.IPC-DIFERIDO      
81390020020013;CARTEIRA CN-R.INT./EXT. 
81390020020023;CARTEIRA CL1-R.INT./EXT.        
81390020020033;CARTEIRA CL2/CL3-R.INT./EXT.    
81390020030053;PAGAMENTO A MAIOR       
83200310000001;WRITE OFF INDEDUTIVEL   
83360060000005;CL3 LEI 9430/96-PERDA   
83360070000003;(-)REVERSAO P/ADIANT.CL3        
83360080000001;PDD DEDUTIVEL   
83750250000007;ARRENDAMENTO MERCANTIL  
83921560000009;DESC.A CONCEDER S/VRG-CL        
85820200000007;RESCISOES,SINISTROS E ETC.      
85820210000005;BNDU-REINTEG.-SIST.L7   
85820260000004;CESSAO DE CREDITO
