arquivo,valor_ultimo_na_linha,status
C0174862.xlsx,27837.24,ok
C0188520.xlsx,17578.560000000005,ok
C0568044.xlsx,0.0,ok
C0568045.xlsx,0.0,ok
C0568397.xlsx,0.0,ok
C0568620.xlsx,0.0,ok
C0569838.xlsx,0.0,ok
C0569381.xlsx,-770011.6400000006,ok
C0900941.xlsx,25423.72,ok
C2098760.xlsx,21890.26,ok
C2136280.xlsx,47080.490000000005,ok
C2177403.xlsx,24204.34,ok
C2181060.xlsx,20675.980000000003,ok
C2395215.xlsx,27236.28,ok
C2390546.xlsx,19320.68,ok
C2443573.xlsx,17713.79,ok
C2445417.xlsx,15359.250000000002,ok
C2465402.xlsx,18069.6,ok
C2486805.xlsx,25429.370000000003,ok
C2547691.xlsx,26867.49,ok
C2525293.xlsx,35862.619999999995,ok
C2661650.xlsx,27357.17,ok
C2663749.xlsx,14166.889999999996,ok
C2721625.xlsx,27060.42000000001,ok
C2745851.xlsx,22511.14,ok
C2672948.xlsx,23159.97,ok
C2779088.xlsx,33241.36,ok
C2747656.xlsx,15125.319999999998,ok
C2762140.xlsx,26651.69000000001,ok
C2800665.xlsx,-5.820766091346741e-11,ok
C2802598.xlsx,0.0,ok
C2802166.xlsx,3.637978807091713e-12,ok
C2868399.xlsx,0.0,ok
C2877781.xlsx,22137.17000000001,ok
C2800798.xlsx,12738671.22,ok
C2924151.xlsx,17386.37,ok
C2813264.xlsx,19099.06,ok
C2937451.xlsx,22364.11,ok
C2935365.xlsx,24994.52,ok
C2976938.xlsx,29804.25,ok
C2957221.xlsx,20771.56,ok
C3000567.xlsx,0.0,ok
C3002794.xlsx,9.094947017729282e-13,ok
C3002769.xlsx,-3.637978807091713e-12,ok
C3003467.xlsx,0.0,ok
C3003188.xlsx,-3.637978807091713e-12,ok
C3003112.xlsx,0.0,ok
C3003470.xlsx,-3.637978807091713e-12,ok
C3002803.xlsx,-1.8189894035458565e-12,ok
C3003545.xlsx,0.0,ok
C3003939.xlsx,0.0,ok
C3003607.xlsx,0.0,ok
C3003691.xlsx,0.0,ok
C3003555.xlsx,0.0,ok
C3004036.xlsx,-1.8189894035458565e-12,ok
C3004022.xlsx,-1.8189894035458565e-12,ok
C3004045.xlsx,0.0,ok
C3004483.xlsx,0.0,ok
C3004675.xlsx,0.0,ok
C3004372.xlsx,1.8189894035458565e-12,ok
C3004158.xlsx,0.0,ok
C3004785.xlsx,3.637978807091713e-12,ok
C3004727.xlsx,0.0,ok
C3004968.xlsx,0.0,ok
C3004949.xlsx,0.0,ok
C3005535.xlsx,7.275957614183426e-12,ok
C3005724.xlsx,0.0,ok
C3005443.xlsx,0.0,ok
C3005627.xlsx,7.275957614183426e-12,ok
C3005967.xlsx,0.0,ok
C3005969.xlsx,0.0,ok
C3006107.xlsx,0.0,ok
C3006159.xlsx,0.0,ok
C3006198.xlsx,0.0,ok
C3006209.xlsx,0.0,ok
C3006243.xlsx,0.0,ok
C3006155.xlsx,0.0,ok
C3006304.xlsx,0.0,ok
C3006287.xlsx,1.8189894035458565e-12,ok
C3006550.xlsx,-1.8189894035458565e-12,ok
C3006528.xlsx,-7.275957614183426e-12,ok
C3006718.xlsx,0.0,ok
C3007130.xlsx,-3.637978807091713e-12,ok
C3006942.xlsx,0.0,ok
C3007223.xlsx,7.275957614183426e-12,ok
C3007226.xlsx,0.0,ok
C3007597.xlsx,1.8189894035458565e-12,ok
C3007381.xlsx,0.0,ok
C3007821.xlsx,7.275957614183426e-12,ok
C3008008.xlsx,0.0,ok
C3007685.xlsx,-3.637978807091713e-12,ok
C3008106.xlsx,-3.637978807091713e-12,ok
C3008216.xlsx,0.0,ok
C3008294.xlsx,0.0,ok
C3008381.xlsx,0.0,ok
C3008723.xlsx,0.0,ok
C3008861.xlsx,0.0,ok
C3008731.xlsx,3.637978807091713e-12,ok
C3009065.xlsx,0.0,ok
C3009119.xlsx,3.637978807091713e-12,ok
C3009341.xlsx,-9.094947017729282e-13,ok
C3009405.xlsx,-1.8189894035458565e-12,ok
C3009558.xlsx,0.0,ok
C3009190.xlsx,0.0,ok
C3009446.xlsx,-9.094947017729282e-12,ok
C3009576.xlsx,-9.094947017729282e-13,ok
C3009619.xlsx,0.0,ok
C3009690.xlsx,0.0,ok
C3009659.xlsx,-1.8189894035458565e-12,ok
C3009913.xlsx,0.0,ok
C3009883.xlsx,0.0,ok
